TradingDate,int_Stkcd,index,Stkcd,open,high,low,close,simple_Stkcd,date,AdjustingFactor,FirstIndustryName,sector,return,max_return,current_drawback,max_place,min_place,max_return_next,upstop_num,downstop_num
20110809,620,311621,000620.SZ,6.31,6.66,6.27,18.498890322580635,000620,20110809,2.8242580645161275,房地产,房产,-0.010574018126888185,11.899145299145294,-0.39239332096474955,38.0,0.0,0.18625954198473282,1.0,0.0
20110809,600721,313342,600721.SH,16.4,17.65,15.98,25.26273657350727,600721,20110809,1.4535521618818912,采掘,大宗材料,0.022352941176470686,0.4919306634787808,-0.30368589743589747,28.0,4.0,0.09838895281933269,3.0,0.0
20110809,600898,313507,600898.SH,7.04,7.24,7.03,19.105622974832354,600898,20110809,2.6909328133566697,商业贸易,可选消费,-0.04054054054054057,0.5800604229607254,-0.321223709369025,48.0,0.0,0.1281690140845071,1.0,0.0
20110810,620,313841,000620.SZ,6.62,6.77,6.52,18.41416258064515,000620,20110810,2.8242580645161275,房地产,房产,-0.004580152671755822,11.899145299145294,-0.39517625231910947,37.0,0.0,0.19171779141104284,1.0,0.0
20110810,600898,315729,600898.SH,7.19,7.43,7.1,19.186350959233053,600898,20110810,2.6909328133566697,商业贸易,可选消费,0.004225352112676051,0.5800604229607254,-0.318355640535373,47.0,0.0,0.13744740532959332,1.0,0.0
20110811,620,316064,000620.SZ,6.3,6.85,6.23,19.204954838709668,000620,20110811,2.8242580645161275,房地产,房产,0.042944785276073594,11.899145299145294,-0.3692022263450835,36.0,0.0,0.14264705882352935,1.0,0.0
20110811,600898,317952,600898.SH,6.82,7.26,6.82,19.455444240568724,600898,20110811,2.6909328133566697,商业贸易,可选消费,0.014025245441795509,0.5800604229607254,-0.3087954110898662,46.0,0.0,0.1618257261410787,1.0,0.0
20110812,620,318287,000620.SZ,6.78,6.92,6.73,19.26143999999999,000620,20110812,2.8242580645161275,房地产,房产,0.002941176470588225,11.899145299145294,-0.36734693877551017,35.0,0.0,0.13929618768328433,1.0,0.0
20110815,620,320511,000620.SZ,6.89,7.03,6.8,19.600350967741925,000620,20110815,2.8242580645161275,房地产,房产,0.017595307917888547,11.899145299145294,-0.3562152133580705,34.0,0.0,0.1195965417867435,1.0,0.0
20110816,620,322737,000620.SZ,6.96,6.97,6.76,19.176712258064505,000620,20110816,2.8242580645161275,房地产,房产,-0.021613832853025983,11.899145299145294,-0.3701298701298702,33.0,0.0,0.14432989690721643,1.0,0.0
20110816,600898,324627,600898.SH,7.46,7.49,7.19,19.455444240568724,600898,20110816,2.6909328133566697,商业贸易,可选消费,-0.028225806451612767,0.5800604229607254,-0.3087954110898662,43.0,0.0,0.21991701244813266,1.0,0.0
20110817,620,324964,000620.SZ,6.78,7.47,6.7,21.09720774193547,000620,20110817,2.8242580645161275,房地产,房产,0.10014727540500723,11.899145299145294,-0.30705009276437856,32.0,0.0,0.04016064257028118,2.0,0.0
20110818,620,327191,000620.SZ,7.47,7.47,7.47,21.09720774193547,000620,20110818,2.8242580645161275,房地产,房产,0.0,11.899145299145294,-0.30705009276437856,31.0,0.0,0.04016064257028118,2.0,0.0
20110819,600721,331152,600721.SH,17.37,17.6,16.9,24.942955097893254,600721,20110819,1.4535521618818912,采掘,大宗材料,-0.04134078212290493,0.4901492537313432,-0.3125,20.0,2.0,0.11247086247086258,3.0,0.0
20110819,600898,331317,600898.SH,7.08,7.27,7.07,19.37471625616802,600898,20110819,2.6909328133566697,商业贸易,可选消费,-0.019073569482288777,0.5800604229607254,-0.3116634799235183,40.0,0.0,0.2250000000000001,1.0,0.0
20110822,620,331655,000620.SZ,7.62,7.94,7.43,21.09720774193547,000620,20110822,2.8242580645161275,房地产,房产,-0.038610038610038644,11.899145299145294,-0.30705009276437856,29.0,0.0,0.009370816599732379,2.0,0.0
20110822,600898,333551,600898.SH,7.2,7.25,6.97,18.91725767789739,600898,20110822,2.6909328133566697,商业贸易,可选消费,-0.023611111111111027,0.5800604229607254,-0.3279158699808795,39.0,0.0,0.2546230440967283,1.0,0.0
20110823,620,333889,000620.SZ,7.47,7.83,7.41,21.294905806451602,000620,20110823,2.8242580645161275,房地产,房产,0.009370816599732379,11.899145299145294,-0.3005565862708719,28.0,0.0,0.0,2.0,0.0
20110824,620,336122,000620.SZ,7.69,7.69,7.3,20.758296774193536,000620,20110824,2.8242580645161275,房地产,房产,-0.025198938992042508,11.899145299145294,-0.31818181818181823,27.0,0.0,0.025850340136054584,2.0,0.0
20110825,620,338355,000620.SZ,7.39,7.49,7.24,21.04072258064515,000620,20110825,2.8242580645161275,房地产,房产,0.013605442176870763,11.899145299145294,-0.30890538033395176,26.0,0.0,0.012080536912751683,2.0,0.0
20110826,620,340588,000620.SZ,7.43,7.57,7.33,21.04072258064515,000620,20110826,2.8242580645161275,房地产,房产,0.0,11.899145299145294,-0.30890538033395176,25.0,0.0,0.012080536912751683,2.0,0.0
20110829,620,342822,000620.SZ,7.47,7.83,7.43,21.26666322580644,000620,20110829,2.8242580645161275,房地产,房产,0.010738255033557076,11.899145299145294,-0.3014842300556586,24.0,0.0,0.0013280212483399723,2.0,0.0
20110830,620,345056,000620.SZ,7.59,7.59,7.3,20.645326451612892,000620,20110830,2.8242580645161275,房地产,房产,-0.02921646746347939,11.899145299145294,-0.32189239332096475,23.0,0.0,0.03146374829001375,2.0,0.0
20110831,620,347293,000620.SZ,7.27,7.42,6.82,19.430895483870955,000620,20110831,2.8242580645161275,房地产,房产,-0.05882352941176483,11.899145299145294,-0.36178107606679044,22.0,0.0,0.0959302325581397,2.0,0.0
20110901,620,349531,000620.SZ,6.92,6.95,6.72,19.176712258064505,000620,20110901,2.8242580645161275,房地产,房产,-0.013081395348837122,11.899145299145294,-0.3701298701298702,21.0,0.0,0.11045655375552288,2.0,0.0
